Alloy,Phase
Al0.4V0.6,BCC
Al0.75Hf1Nb1Ta1Ti1Zr1,BCC
Al1Cr0.5Nb1Ti1V1,BCC
Al1Cr1Mo1Ti1W1,BCC
Al1Nb1.5Ta0.5Ti1.5Zr0.5,BCC
Al1Nb1Ta1Ti1V1,BCC
Al1Nb1Ti1V1,BCC
Au0.05Ta0.95,BCC
Au0.05Ti0.95,BCC
Au0.08V0.92,BCC
Au0.1Nb0.9,BCC
Au0.1Zr0.9,BCC
Ba0.25Ca0.75,BCC
Ba0.25Eu0.75,BCC
Ba0.25Sr0.75,BCC
Ba0.25Yb0.75,BCC
Ba0.5Ca0.5,BCC
Ba0.5Eu0.5,BCC
Ba0.5Sr0.5,BCC
Ba0.5Yb0.5,BCC
Ba0.75Ca0.25,BCC
Ba0.75Eu0.25,BCC
Ba0.75Sr0.25,BCC
Ba0.75Yb0.25,BCC
Be0.02W0.98,BCC
Ca0.25Sr0.75,BCC
Ca0.5Sr0.5,BCC
Ca0.75Sr0.25,BCC
Ca0.7Yb0.3,BCC
Ca0.85Yb0.15,BCC
Co0.1Cr0.9,BCC
Cr0.05Ta0.95,BCC
Cr0.1Nb0.9,BCC
Cr0.25Fe0.75,BCC
Cr0.25Mo0.75,BCC
Cr0.25V0.75,BCC
Cr0.2W0.8,BCC
Cr0.5Fe0.5,BCC
Cr0.5Mn0.5,BCC
Cr0.5Mo0.5,BCC
Cr0.5V0.5,BCC
Cr0.75Fe0.25,BCC
Cr0.75Mn0.25,BCC
Cr0.75Mo0.25,BCC
Cr0.75V0.25,BCC
Cr0.85Ru0.15,BCC
Cr0.8Re0.2,BCC
Cr0.95Ir0.05,BCC
Cr0.9Os0.1,BCC
Cr0.9W0.1,BCC
Cr1Mo1Nb1Re1Ta1V1W1,BCC
Cr1Mo1Nb1Ta1V1W1,BCC
Cs0.25Rb0.75,BCC
Cs0.5Rb0.5,BCC
Cs0.75Rb0.25,BCC
Fe0.1V0.9,BCC
Fe0.85Zn0.15,BCC
Fe0.8V0.2,BCC
Fe0.93Si0.07,BCC
Fe0.9Ga0.1,BCC
Fe0.9Rh0.1,BCC
Ga0.15Ti0.85,BCC
Hf0.25Nb0.75,BCC
Hf0.25Ta0.75,BCC
Hf0.25Ti0.75,BCC
Hf0.25Zr0.75,BCC
Hf0.5Nb0.5,BCC
Hf0.5Ta0.5,BCC
Hf0.5Ti0.5,BCC
Hf0.5Zr0.5,BCC
Hf0.75Nb0.25,BCC
Hf0.75Ta0.25,BCC
Hf0.75Ti0.25,BCC
Hf0.75Zr0.25,BCC
Hf1Mo1Nb1Ti1Zr1,BCC
Hf1Nb1Ta1Ti1V1Zr1,BCC
Hf1Nb1Ta1Ti1Zr1,BCC
Hf1Nb1Ta1Zr1,BCC
Hf1Nb1Ti1V1Zr1,BCC
Hf1Nb1Ti1Zr1,BCC
Ir0.02W0.98,BCC
Ir0.05Mo0.95,BCC
Ir0.05Nb0.95,BCC
Ir0.05Ta0.95,BCC
Ir0.05Ti0.95,BCC
Ir0.1V0.9,BCC
Li0.35Mg0.65,BCC
Li0.5Mg0.5,BCC
Li0.85Mg0.15,BCC
Mn0.25V0.75,BCC
